,0
EX_26dap_M_m,1.0
EX_4hbz_m,0.00019808990998923878
EX_ala_L_m,0.1550621053757937
EX_btn_m,0.0001134872495785604
EX_ca2_m,0.7732213849659821
EX_chol_m,3.519860331941667e-06
EX_cl_m,15.648229110841584
EX_cobalt2_m,0.00020126331861839862
EX_cu2_m,0.0014867510674681874
EX_fe2_m,0.0004553153072492296
EX_fe3_m,0.0004553153072492296
EX_fol_m,0.0005942697299677335
EX_fru_m,0.443901642965899
EX_fum_m,1.0
EX_gal_m,0.0990298814093386
EX_gchola_m,1.0
EX_glc_D_m,0.5650545814301215
EX_glu_L_m,0.42978020087876945
EX_gly_m,0.15321228082795801
EX_glyc_m,1.0
EX_glycys_m,0.005590509946249211
EX_gthox_m,9.904495499461939e-05
EX_h2o_m,691.4222954070087
EX_his_L_m,0.0584443946016856
EX_hxan_m,0.28900043487370386
EX_ile_L_m,0.12053143853138373
EX_k_m,0.34798188156518295
EX_leu_L_m,0.1953982745927958
EX_malt_m,0.03505774269833805
EX_melib_m,0.0037136361776513027
EX_met_L_m,0.04470310447890555
EX_mg2_m,0.6056195570184459
EX_mn2_m,0.003113681663286946
EX_mnl_m,0.007090376593230499
EX_mqn7_m,0.004049610416666669
EX_na1_m,0.7186511877860826
EX_nh4_m,0.9999999999999993
EX_o2_m,1.0010000000000001
EX_ocdca_m,0.14937890393539371
EX_ocdcea_m,0.4233048289106931
EX_phe_L_m,0.08632783075073742
EX_pheme_m,0.00020126331861839862
EX_pi_m,0.05929273291220081
EX_pro_L_m,0.2242401014500937
EX_ribflv_m,0.00039617981997847745
EX_sbt_D_m,0.00013723309535284834
EX_ser_L_m,1.1557681828533437
EX_sheme_m,0.00019808990998923878
EX_so4_m,0.2800729527132931
EX_spmd_m,0.00019808990998923878
EX_sucr_m,0.8436995898779767
EX_tchola_m,1.0
EX_thm_m,0.022532752085950885
EX_tyr_L_m,0.06520511327521698
EX_val_L_m,0.1574594474316872
EX_zn2_m,0.006291679412664429
